ALARM on 4/8/2018 9:00:00 PM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/8/2018 9:00:01 PM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/8/2018 9:00:02 PM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/8/2018 9:00:22 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:00:23 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:00:24 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:00:25 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:00:26 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:00:27 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:00:28 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:00:29 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:00:30 PM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/8/2018 9:00:31 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:00:32 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:00:33 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:00:34 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:00:35 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:00:36 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:00:37 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:00:38 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:01:00 PM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/8/2018 9:01:01 PM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/8/2018 9:01:02 PM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/8/2018 9:01:23 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:01:24 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:01:24 PM - Tag AItag3 value: 95.1056516295154 | High limit: 95
ALARM on 4/8/2018 9:01:25 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:01:26 PM - Tag AItag3 value: 96.5925826289068 | High limit: 95
ALARM on 4/8/2018 9:01:26 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:01:27 PM - Tag AItag3 value: 97.8147600733806 | High limit: 95
ALARM on 4/8/2018 9:01:27 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:01:28 PM - Tag AItag3 value: 98.7688340595138 | High limit: 95
ALARM on 4/8/2018 9:01:28 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:01:29 PM - Tag AItag3 value: 99.4521895368273 | High limit: 95
ALARM on 4/8/2018 9:01:29 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:01:30 PM - Tag AItag3 value: 99.8629534754574 | High limit: 95
ALARM on 4/8/2018 9:01:30 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
